Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Dist,Sh,SoT,FK,PK,PKatt,Season
2023-04-08,12:30,Premier League,Matchweek 30,Sat,Home,W,2,0,Everton,3.4,1.0,63.0,73509.0,Harry Maguire,4-2-3-1,Michael Oliver,Match Report,,16.5,29.0,11.0,0.0,0.0,0.0,2020
2023-04-16,16:30,Premier League,Matchweek 31,Sun,Away,W,2,0,Nott'ham Forest,3.5,0.7,68.0,29435.0,Harry Maguire,4-2-3-1,Simon Hooper,Match Report,,15.4,22.0,7.0,1.0,0.0,0.0,2020
2023-04-27,20:15,Premier League,Matchweek 33,Thu,Away,,,,Tottenham,,,,,,,,Head-to-Head,,,,,,,,2020
2023-04-30,14:00,Premier League,Matchweek 34,Sun,Home,,,,Aston Villa,,,,,,,,Head-to-Head,,,,,,,,2020
2023-05-04,20:00,Premier League,Matchweek 28,Thu,Away,,,,Brighton,,,,,,,,Head-to-Head,,,,,,,,2020
2023-05-07,19:00,Premier League,Matchweek 35,Sun,Away,,,,West Ham,,,,,,,,Head-to-Head,,,,,,,,2020
2023-05-13,15:00,Premier League,Matchweek 36,Sat,Home,,,,Wolves,,,,,,,,Head-to-Head,,,,,,,,2020
2023-05-20,15:00,Premier League,Matchweek 37,Sat,Away,,,,Bournemouth,,,,,,,,Head-to-Head,,,,,,,,2020
2023-05-25,20:00,Premier League,Matchweek 32,Thu,Home,,,,Chelsea,,,,,,,,Head-to-Head,,,,,,,,2020
2023-05-28,16:30,Premier League,Matchweek 38,Sun,Home,,,,Fulham,,,,,,,,Head-to-Head,,,,,,,,2020
